URL,diagnosis,comment1,path1,ankiimage1,comment2,ankiimage2,comment3,ankiimage3
https://www.atlasophthalmology.net/photo.jsf?node=9493&locale=en,orbital cavernous hemangioma (cranial mri),"Patient: 51 years old, female, BCVA 1.0 at OD, 1.0 at OS. 
General Medical History: empty.
Ocular Medical History: The patient slowly developed 3 mm of well-tolerated relative proptosis with minimal motility disturbance at OS, no visual decline. 
Main Complaint: proptosis with motility disturbance.
Methods: magnetic resonance imaging (MRI), visual evoked response (VEP).
Findings: 
(1) Magnetic resonance imaging (MRI) demonstrated an intraconal rounded mass that perfused slowly, the anterior surface was well circumscribed. There was no compression of the optic nerve.
(2) VEP of OS showed regular latencies with attenuated amplitudes at OS.
Discussion: Bonavolontà  et al. (1) evaluated the frequencies of orbital space-occupying lesions. In this retrospective case series, the authors reviewed 2,480 consecutive patients. Of the 2,480 lesions, 68% were benign and 32% were malignant. The most frequent benign tumors were dermoid cyst (14%) and cavernous hemangioma (9%). The most common malignant tumors were non-Hodgkin lymphoma (12%), basal cell carcinoma (3%), and orbital metastases (3%). Cavernous hemangioma only exceptionally compresses the optic nerve. 
Literature:
(1) Ophthal Plast Reconstr Surg. 2013 Mar-Apr;29(2):79-86. An analysis of 2,480 space-occupying lesions of the orbit from 1976 to 2011. Bonavolontà G, Strianese D, Grassi P, Comune C, Tranfa F, Uccello G, Iuliano A.
","#Optho::Orbit::Tumors,Neoplasma::Benign::CavernousHemangioma::OrbitalCavernousHemangioma(MRI,VEP)","<img src=""9493.jpg"">","Patient: 51 years old, female, BCVA 1.0 at OD, 1.0 at OS. 
General Medical History: empty.
Ocular Medical History: The patient slowly developed 3 mm of well-tolerated relative proptosis with minimal motility disturbance at OS, no visual decline. 
Main Complaint: proptosis with motility disturbance.
Methods: magnetic resonance imaging (MRI), visual evoked response (VEP).
Findings: 
(1) Magnetic resonance imaging (MRI) demonstrated an intraconal rounded mass that perfused slowly, the anterior surface was well circumscribed. There was no compression of the optic nerve.
(2) VEP of OS showed regular latencies with attenuated amplitudes at OS.
Discussion: Bonavolontà  et al. (1) evaluated the frequencies of orbital space-occupying lesions. In this retrospective case series, the authors reviewed 2,480 consecutive patients. Of the 2,480 lesions, 68% were benign and 32% were malignant. The most frequent benign tumors were dermoid cyst (14%) and cavernous hemangioma (9%). The most common malignant tumors were non-Hodgkin lymphoma (12%), basal cell carcinoma (3%), and orbital metastases (3%). Cavernous hemangioma only exceptionally compresses the optic nerve. 
Literature:
(1) Ophthal Plast Reconstr Surg. 2013 Mar-Apr;29(2):79-86. An analysis of 2,480 space-occupying lesions of the orbit from 1976 to 2011. Bonavolontà G, Strianese D, Grassi P, Comune C, Tranfa F, Uccello G, Iuliano A.
","<img src=""9494.jpg"">","Patient: 51 years old, female, BCVA 1.0 at OD, 1.0 at OS. 
General Medical History: empty.
Ocular Medical History: The patient slowly developed 3 mm of well-tolerated relative proptosis with minimal motility disturbance at OS, no visual decline. 
Main Complaint: proptosis with motility disturbance.
Methods: magnetic resonance imaging (MRI), visual evoked response (VEP).
Findings: 
(1) Magnetic resonance imaging (MRI) demonstrated an intraconal rounded mass that perfused slowly, the anterior surface was well circumscribed. There was no compression of the optic nerve.
(2) VEP of OS showed regular latencies with attenuated amplitudes at OS.
Discussion: Bonavolontà  et al. (1) evaluated the frequencies of orbital space-occupying lesions. In this retrospective case series, the authors reviewed 2,480 consecutive patients. Of the 2,480 lesions, 68% were benign and 32% were malignant. The most frequent benign tumors were dermoid cyst (14%) and cavernous hemangioma (9%). The most common malignant tumors were non-Hodgkin lymphoma (12%), basal cell carcinoma (3%), and orbital metastases (3%). Cavernous hemangioma only exceptionally compresses the optic nerve. 
Literature:
(1) Ophthal Plast Reconstr Surg. 2013 Mar-Apr;29(2):79-86. An analysis of 2,480 space-occupying lesions of the orbit from 1976 to 2011. Bonavolontà G, Strianese D, Grassi P, Comune C, Tranfa F, Uccello G, Iuliano A.
","<img src=""9495.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=10463&locale=en,serous retinal detachment in preeclampsia (sd-oct),"SD-OCT in OD: subretinal fluid, hyporeflective area between retinal pigment epithelium and neurosensory retina, equivalent to serous retinal detachment.

Patient: 35 years of age, female, BCVA 1.0 at OD, 0.5 at OS, IOP 16/15 mmHg.
Ocular Medical History: blurred vision in left eye in perinatal period.
General Medical History: in 32th week of pregnancy severe preeclampsia, pregnancy was terminated by cesarean section at 32 gestational weeks. 
Purpose: to present choriodal changes in preeclampsia.
Methods: Colour Photography Posterior Segment, SD-OCT Heidelberg Engineering.
Findings:  
Colour Photography Posterior Segment in OD and OS: serous retinal detachment, retinal hemorrhage. 
SD-OCT in OD and OS: subretinal fluid, hyporeflective area between retinal pigment epithelium and neurosensory retina, equivalent to serous retinal detachment.
Discussion: Preeclampsia  is associated with acute increases in blood pressure leading to a choroidopathy. Nonperfused areas of the choriocapillaris cause changes of overlying retinal pigment epithelium, resulting in neurosensory detachments. 1, 2. 
Literature:
(1) Dewilde E, Huygens M, Cools G, Van Calster J.Hypertensive choroidopathy in pre-eclampsia: two consecutive cases. Ophthalmic Surg Lasers Imaging Retina. 2014 Jul-Aug;45(4):343-6. 
(2) Bartczak A, Kraśnicki P, Urban R, Laudaiński T, Mariak Z. Bilateral serous retinal detachment in preeclampsia--a case report. Klin Oczna. 2014;116(1):21-3.
","#Optho::Retina::AquiredMacularDiseases::SerousRetinalDetachmentinPreeclampsia(ColourPhotographyPosteriorSegment,SD-OCT)","<img src=""10463.jpg"">","SD-OCT in OS: subretinal fluid, hyporeflective area between retinal pigment epithelium and neurosensory retina, equivalent to serous retinal detachment.

Patient: 35 years of age, female, BCVA 1.0 at OD, 0.5 at OS, IOP 16/15 mmHg.
Ocular Medical History: blurred vision in left eye in perinatal period.
General Medical History: in 32th week of pregnancy severe preeclampsia, pregnancy was terminated by cesarean section at 32 gestational weeks. 
Purpose: to present choriodal changes in preeclampsia.
Methods: Colour Photography Posterior Segment, SD-OCT Heidelberg Engineering.
Findings:  
Colour Photography Posterior Segment in OD and OS: serous retinal detachment, retinal hemorrhage. 
SD-OCT in OD and OS: subretinal fluid, hyporeflective area between retinal pigment epithelium and neurosensory retina, equivalent to serous retinal detachment.
Discussion: Preeclampsia  is associated with acute increases in blood pressure leading to a choroidopathy. Nonperfused areas of the choriocapillaris cause changes of overlying retinal pigment epithelium, resulting in neurosensory detachments. 1, 2. 
Literature:
(1) Dewilde E, Huygens M, Cools G, Van Calster J.Hypertensive choroidopathy in pre-eclampsia: two consecutive cases. Ophthalmic Surg Lasers Imaging Retina. 2014 Jul-Aug;45(4):343-6. 
(2) Bartczak A, Kraśnicki P, Urban R, Laudaiński T, Mariak Z. Bilateral serous retinal detachment in preeclampsia--a case report. Klin Oczna. 2014;116(1):21-3.
","<img src=""10464.jpg"">","SD-OCT in OS: subretinal fluid, hyporeflective area between retinal pigment epithelium and neurosensory retina, equivalent to serous retinal detachment.

Patient: 35 years of age, female, BCVA 1.0 at OD, 0.5 at OS, IOP 16/15 mmHg.
Ocular Medical History: blurred vision in left eye in perinatal period.
General Medical History: in 32th week of pregnancy severe preeclampsia, pregnancy was terminated by cesarean section at 32 gestational weeks. 
Purpose: to present choriodal changes in preeclampsia.
Methods: Colour Photography Posterior Segment, SD-OCT Heidelberg Engineering.
Findings:  
Colour Photography Posterior Segment in OD and OS: serous retinal detachment, retinal hemorrhage. 
SD-OCT in OD and OS: subretinal fluid, hyporeflective area between retinal pigment epithelium and neurosensory retina, equivalent to serous retinal detachment.
Discussion: Preeclampsia  is associated with acute increases in blood pressure leading to a choroidopathy. Nonperfused areas of the choriocapillaris cause changes of overlying retinal pigment epithelium, resulting in neurosensory detachments. 1, 2. 
Literature:
(1) Dewilde E, Huygens M, Cools G, Van Calster J.Hypertensive choroidopathy in pre-eclampsia: two consecutive cases. Ophthalmic Surg Lasers Imaging Retina. 2014 Jul-Aug;45(4):343-6. 
(2) Bartczak A, Kraśnicki P, Urban R, Laudaiński T, Mariak Z. Bilateral serous retinal detachment in preeclampsia--a case report. Klin Oczna. 2014;116(1):21-3.
","<img src=""10465.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=702&locale=en,"posterior subsapsular, nuclear and cortical cataract","Slitlamp illumination demonstrates the opacities in the anterior cortex of the lens, the nucleosclerosis, and the posterior subcapsular changes.",#Optho::Lens::SenileCataract::MixedCataract,"<img src=""702.jpg"">",Simple illumination shows best the nucleosclerosis of the lens.,"<img src=""703.jpg"">",Retroillumination shows well the subcapsular changes of the lens but suggests only the nucleosclerosis.,"<img src=""704.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=9443&locale=en,venous stasis retinopathy in le (ffa image),Angiofluorescein exam showed leakage in late times and venous engorgement,#Optho::Retina::VascularDiseases(seealso:SystemicImmunologicDiseases)::RetinalVeinOcclusion::VenousStasisRetinopathyinSystemicLupusErythematosusandAntiphospholipidSyndrome,"<img src=""9443.jpg"">",Angiofluorescein exam showed leakage in late times and venous engorgement,"<img src=""9445.jpg"">",Angiofluorescein exam showed leakage in late times and venous engorgement,"<img src=""9447.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=9218&locale=en,posterior lens luxation in marfan's syndrome,Figure 3. Lens in anterior chamber of right eye,#Optho::Lens::CataractandAssociatedSystemicDiseases(see:SystemicDiseases)::PosteriorluxationofthecrystallinelensinMarfansyndrome,"<img src=""9218.jpg"">",Figure 1. Lens in posterior chamber of right eye,"<img src=""9219.jpg"">",Figure 2.  scan ultrasound showing lens in vitreous cavity of right eye,"<img src=""9220.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=1947&locale=en,"diabetic retinopathy, nonproliferative","Many superficial, intraretinal hemorrhages. The fluffy, white spots, cotton wool spots, are microinfarcts.",#Optho::SystemicDiseases::EndocrineDisorders::DiabetesMellitus::Retina::Nonproliferative,"<img src=""1947.jpg"">","Many red dots, microaneurysms, are seen together with hard exudate in a circinate pattern.","<img src=""1949.jpg"">",The upper picture shows the fundus of a diabetic with very early changes. There is a small cotton-wool spot and a small intraretinal hemorrhage. Some time later a lot of microaneurysms and accumulations of microaneurysms are found above the fovea along the supero-temporal artery in the eye of the same patient (lower picture). Hard exudates become visible.,"<img src=""6203.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=542&locale=en,keratoglobus,"A side-view of a keratoglobus reveals the sperical ectasis of the cornea with a ""waistline"" at the site of peripheral thinning(arrow)","#Optho::Cornea::Dystrophies,HereditaryKeratopathies,Bilateral::Non-inflammatoryCornealEktasias::Keratoglobus","<img src=""542.jpg"">",Spherical ectasis with thinning especially of the peripheral cornea . ,"<img src=""543.jpg"">",The cornea is uniformly thinner than normal. Descemt's membrane may rupture. After absorbtion of initial local edema due to influx of anterior chamber fluid long stretched scars develop.,"<img src=""7375.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=1766&locale=en,acquired macroaneurysm,Retro- and intra-retinal hemorrhage originating from arterial macroaneurysm,"#Optho::Retina::VascularDiseases(seealso:SystemicImmunologicDiseases)::AcquiredMacroaneurysm::Case,AcquiredMacroaneurysm","<img src=""1766.jpg"">","Eight months later, with no treatment, the subretinal blood is  absorbed leaving behind some slight RPE depigmentation, the aneurysm has scarred down and the artery behind it is slightly ensheathed but open.","<img src=""1767.jpg"">","Two aneurysms are visible, one large and one small, and are surrounded by circinate material as an indication of chronic leakage","<img src=""1768.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=9489&locale=en,conjunctival haemangioma (colour image),"Patient: 27 year old man, vision 6/4 in both eyes.
Ocular Medical History: patient was noted to have a vascular anomaly on the surface of the right eye at birth. It has been static for many years but he feels it became more prominent last year. He is occasionally aware of a foreign body sensation.  
Methods: Colour photography.
Findings: vascular anomaly on surface of eye was an isolated finding. Its appearance is consistent with a haemangioma. Lubricant eye drop was prescribed to control symptoms of dryness.","#Optho::Conjunctiva::Tumor,Neoplasma::Benign::VascularTumors::ConjunctivalHaemangioma(ColourImage)","<img src=""9489.jpg"">","Patient: 27 year old man, vision 6/4 in both eyes.
Ocular Medical History: patient was noted to have a vascular anomaly on the surface of the right eye at birth. It has been static for many years but he feels it became more prominent last year. He is occasionally aware of a foreign body sensation.  
Methods: Colour photography.
Findings: vascular anomaly on surface of eye was an isolated finding. Its appearance is consistent with a haemangioma. Lubricant eye drop was prescribed to control symptoms of dryness.","<img src=""9490.jpg"">","Patient: 27 year old man, vision 6/4 in both eyes.
Ocular Medical History: patient was noted to have a vascular anomaly on the surface of the right eye at birth. It has been static for many years but he feels it became more prominent last year. He is occasionally aware of a foreign body sensation.  
Methods: Colour photography.
Findings: vascular anomaly on surface of eye was an isolated finding. Its appearance is consistent with a haemangioma. Lubricant eye drop was prescribed to control symptoms of dryness.","<img src=""9491.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=3762&locale=en,lipid keratopathy,"Disciform accumulations of lipid occur at the vascularized scar of previous keratitis, such as this patient with prior zoster keratitis.","#Optho::Cornea::Degenerations,ChronicAquiredKeratopathies::CentralorDiffuseDegenerations::LipidDegeneration","<img src=""3762.jpg"">","Arcuate deposits of lipid accumulate at the leading edge of vessels, particularly those vessels that are dilated and inflamed.","<img src=""3763.jpg"">",Storage of lipids in the cornea with fetherlike borders occurs after vascularization of the cornea. Fine corneal vessels are visible at the superior margin at 1 o´clock.,"<img src=""4576.jpg"">"
