URL,diagnosis,comment1,path1,ankiimage1,comment2,ankiimage2,comment3,ankiimage3,comment4,ankiimage4
https://www.atlasophthalmology.net/photo.jsf?node=3039&locale=en,optic nerve pit,Changes in the pigment epithelium near the pit are probably caused by repeated serous detachments of the retina with vitreous fluid having access to the subretinal space through the pit.,#Optho::OpticNerve::CongenitalAnomalies(Abnormalities)::OpticNervePit,"<img src=""3039.jpg"">","A discrete, gray, oval depression is situated at the temporal edge of the optic disc. This is the classic appearance of an optic pit. ","<img src=""3040.jpg"">","A round pit with grayish margins is situated on the temporal aspect of the left optic disc.  In addition, there is a well-demarcated circular area of macular elevation, representing either a serous detachment or retinoschisis.","<img src=""3118.jpg"">",The grayish round area on the temporal disc represents an excavation. Fine pigmentary changes reach fingerlike in the direction of the fovea.  The fovea shows a subtle elevation with cystoid changes that are difficult to distinguish from a hole.,"<img src=""3329.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=9604&locale=en,congenital combined eyelid imbrication and ﬂoppy eyelid  syndrome,Bilateral everted upper lid overlapping lower eye lids and exposed tarsal conjunctiva,#Optho::Lids::CongenitalAnomalies(Abnormalities)::CongenitalcombinedeyelidimbricationandﬂoppyeyelidSyndromeinnewborn,"<img src=""9604.jpg"">",Bilateral everted upper lid overlapping lower eye lids and exposed tarsal conjunctiva,"<img src=""9605.jpg"">",After re positioning of tarsal conjunctiva on first day,"<img src=""9606.jpg"">",After re positioning of tarsal conjunctiva on 3rd day,"<img src=""9607.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=424&locale=en,disciform herpetic keratitis,Corneal infiltrates and slightly irregular epithelium together with conjunctival injection indicate an active keratitis.,"#Optho::Cornea::Keratitis,Keratouveitis(Infectious/Non-Infectious/Neuroparalytic/Parasitic)::Disciform/Stromal/Interstitial/ParenchymalKeratitis::ViralKeratitis::HerpesSimplexStromalKeratitis","<img src=""424.jpg"">",Recurring keratitis is mostly due to herpes corneae. There is a non-specific stromal opacification and often irregularities in corneal thickness.,"<img src=""587.jpg"">",Stromal infiltrate and endothelial decompensation,"<img src=""776.jpg"">",Infiltration and edema of the corneal stroma. Detail from No 776,"<img src=""777.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=9232&locale=en,retinal detachment with retinal tear (colour image),"female, 57 years of age
Symptoms: At OD since one week multiple floaters, and a  slight decrease in vision. 
Medical history: - 
Ocular medical history: BCVA OD 1.0, OS 0.8, IOP OD 15 mmHg, OS 13 mmHg, OS showed vitreous hemorrhage two months earlier.
Fundus: Regular central retina, retinal detachment from 9h to 1 h with retinal tear at 11 h
","#Optho::Retina::RetinalDetachment,Rhegmatogenous.RetinalPerforations,Breaks::RhegmatogenousRetinalDetachment::RetinalDetachmentwithRetinalTear(ColourImages)","<img src=""9232.jpg"">","female, 57 years of age
Symptoms: At OD since one week multiple floaters, and a  slight decrease in vision. 
Medical history: - 
Ocular medical history: BCVA OD 1.0, OS 0.8, IOP OD 15 mmHg, OS 13 mmHg, OS showed vitreous hemorrhage two months earlier.
Fundus: Regular central retina, retinal detachment from 9h to 1 h with retinal tear at 11 h
","<img src=""9233.jpg"">","female, 57 years of age
Symptoms: At OD since one week multiple floaters, and a  slight decrease in vision. 
Medical history: - 
Ocular medical history: BCVA OD 1.0, OS 0.8, IOP OD 15 mmHg, OS 13 mmHg, OS showed vitreous hemorrhage two months earlier.
Fundus: Regular central retina, retinal detachment from 9h to 1 h with retinal tear at 11 h
","<img src=""9234.jpg"">","female, 57 years of age
Symptoms: At OD since one week multiple floaters, and a  slight decrease in vision. 
Medical history: - 
Ocular medical history: BCVA OD 1.0, OS 0.8, IOP OD 15 mmHg, OS 13 mmHg, OS showed vitreous hemorrhage two months earlier.
Fundus: Regular central retina, retinal detachment from 9h to 1 h with retinal tear at 11 h
","<img src=""9235.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=625&locale=en,radial keratotomy,The corneal incisions in refractive surgery have resulted in heavy cicatrixation of the radial scars leading to glare.,#Optho::Cornea::SurgicalProceduresandPostoperativeFindings::SurgicalProcedures::RadialKeratotomy,"<img src=""625.jpg"">",Corneal incisions in refractive surgery. Corneal cicatrixation,"<img src=""626.jpg"">",Parallel radial corneal scars in each quadrant (Variation).,"<img src=""2925.jpg"">",Deep incisions into the corneal stroma to alter the refraction of the cornea. Multiple radial scars with sparing of the optical center.,"<img src=""2926.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=3043&locale=en,"myopia, fuchs' spot",Hemorrhage underneath the fovea with RPE proliferation in the center. Myopic eye.,"#Optho::CongenitalSyndromes,MalformationsandAbnomalities::Abnormalities/AnomaliesofEyeSize::LargeSize,Myopia::FuchsSpot","<img src=""3043.jpg"">",Highly myopic eye with fresh hemorrhage underneath the foveal retina due to choroidal neovascularization. One sees a line in Bruch's membrane with atrophy of the RPE (lacquer crack).,"<img src=""3044.jpg"">",Pigmentary changes in areas of cracks in Bruch's membrane in the foveal area. Hyperpigmentation is probably the remnant of former hemorrhage in a highly myopic eye.,"<img src=""3249.jpg"">",This highly myopic eye (choroidal atrophie of the posterior pole) has developed subretinal neovascularization which led to repeated hemorrhages and scar tissue formation. Visible are subretinal hemorrhages and subretinal scar tissue,"<img src=""6557.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=10367&locale=en,ischemic retinopathy after presumed branch vein occlusion (ffa),"Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels, peripherial retinal neovascularisation, peripheral capillary nonperfusion with more than 10 disc diameters of retinal capillary nonperfusion.

Patient: 67 years of age, BVCA 0.3 at OD, 0.6 at OS, IOP 16/18 mmHg. 
General Medical History: arterial hypertension.
Ocular Medical History: decreased vision in OD.
Main Complaint: unclear vision loss.
Purpose: to present peripherial ischemic retinopathy in mainly regular central fundus.
Methods: Colour Photogaphy Posterior Segment, Optical Coherence Tomography, Fundus Fluorescein Angiography.  
Findings:
Colour Photography Posterior Pole: nonperfused segment in superior temporal vein with collateral vessels, few intraretinal hemorrhages, no nerve fiber layer infarcts, no optic disc edema.
Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels, peripherial retinal neovascularisation, peripheral capillary nonperfusion with more than 10 disc diameters of retinal capillary nonperfusion.
Optical coherence tomography (OCT): decrease in foveal thickness, impaired inner segment/outer segment (IS/OS) junction, no macular swelling, no macular edema.
Discussion: 
Retinal vein occlusion (RVO) is the second most common cause after diabetic retinopathy of vision loss due to retinal vascular disease. Branch vein occlusion (BRVO) is about 3-6 times more common than central vein occlusion (CRVO). Ho et al. (1) reported, that pooled data showed prevalence rates of about 0.52% for any RVO, 0.44% for BRVO, and 0.08% for CRVO. BRVO is caused by a combination of vein compression at arteriovenous crossings, degenerative changes within venous walls, and hypercoagulability. 34% of nonischemic retinal vein occlusion converted to the ischemic type. Kokolaki et al. (2) showed, that collateral vessels developed in 60% of patients 6±3 months after diagnosis.
Literature:
(1) Ho M, Liu DT, Lam DS, Jonas JB. RETINAL VEIN OCCLUSIONS, FROM BASICS TO THE LATEST TREATMENT. Retina. 2015 Dec 29.
(2) Kokolaki AE, Georgalas I, Koutsandrea C, Kotsolis A, Niskopoulou M, Ladas I. Comparative analysis of the development of collateral vessels in macular edema due to branch retinal vein occlusion following grid laser or ranibizumab treatment. Clin Ophthalmol. 2015 Sep 3;9:1519-22
","#Optho::Retina::VascularDiseases(seealso:SystemicImmunologicDiseases)::RetinalVeinOcclusion::IschemicRetinopathyafterPresumedBranchVeinOcclusion(ColourPhotogaphyPosteriorSegment,OCT,FFA)","<img src=""10367.jpg"">","Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels, peripherial retinal neovascularisation, peripheral capillary nonperfusion with more than 10 disc diameters of retinal capillary nonperfusion.

Patient: 67 years of age, BVCA 0.3 at OD, 0.6 at OS, IOP 16/18 mmHg. 
General Medical History: arterial hypertension.
Ocular Medical History: decreased vision in OD.
Main Complaint: unclear vision loss.
Purpose: to present peripherial ischemic retinopathy in mainly regular central fundus.
Methods: Colour Photogaphy Posterior Segment, Optical Coherence Tomography, Fundus Fluorescein Angiography.  
Findings:
Colour Photography Posterior Pole: nonperfused segment in superior temporal vein with collateral vessels, few intraretinal hemorrhages, no nerve fiber layer infarcts, no optic disc edema.
Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels, peripherial retinal neovascularisation, peripheral capillary nonperfusion with more than 10 disc diameters of retinal capillary nonperfusion.
Optical coherence tomography (OCT): decrease in foveal thickness, impaired inner segment/outer segment (IS/OS) junction, no macular swelling, no macular edema.
Discussion: 
Retinal vein occlusion (RVO) is the second most common cause after diabetic retinopathy of vision loss due to retinal vascular disease. Branch vein occlusion (BRVO) is about 3-6 times more common than central vein occlusion (CRVO). Ho et al. (1) reported, that pooled data showed prevalence rates of about 0.52% for any RVO, 0.44% for BRVO, and 0.08% for CRVO. BRVO is caused by a combination of vein compression at arteriovenous crossings, degenerative changes within venous walls, and hypercoagulability. 34% of nonischemic retinal vein occlusion converted to the ischemic type. Kokolaki et al. (2) showed, that collateral vessels developed in 60% of patients 6±3 months after diagnosis.
Literature:
(1) Ho M, Liu DT, Lam DS, Jonas JB. RETINAL VEIN OCCLUSIONS, FROM BASICS TO THE LATEST TREATMENT. Retina. 2015 Dec 29.
(2) Kokolaki AE, Georgalas I, Koutsandrea C, Kotsolis A, Niskopoulou M, Ladas I. Comparative analysis of the development of collateral vessels in macular edema due to branch retinal vein occlusion following grid laser or ranibizumab treatment. Clin Ophthalmol. 2015 Sep 3;9:1519-22
","<img src=""10368.jpg"">","Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels, peripherial retinal neovascularisation, peripheral capillary nonperfusion with more than 10 disc diameters of retinal capillary nonperfusion.

Patient: 67 years of age, BVCA 0.3 at OD, 0.6 at OS, IOP 16/18 mmHg. 
General Medical History: arterial hypertension.
Ocular Medical History: decreased vision in OD.
Main Complaint: unclear vision loss.
Purpose: to present peripherial ischemic retinopathy in mainly regular central fundus.
Methods: Colour Photogaphy Posterior Segment, Optical Coherence Tomography, Fundus Fluorescein Angiography.  
Findings:
Colour Photography Posterior Pole: nonperfused segment in superior temporal vein with collateral vessels, few intraretinal hemorrhages, no nerve fiber layer infarcts, no optic disc edema.
Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels, peripherial retinal neovascularisation, peripheral capillary nonperfusion with more than 10 disc diameters of retinal capillary nonperfusion.
Optical coherence tomography (OCT): decrease in foveal thickness, impaired inner segment/outer segment (IS/OS) junction, no macular swelling, no macular edema.
Discussion: 
Retinal vein occlusion (RVO) is the second most common cause after diabetic retinopathy of vision loss due to retinal vascular disease. Branch vein occlusion (BRVO) is about 3-6 times more common than central vein occlusion (CRVO). Ho et al. (1) reported, that pooled data showed prevalence rates of about 0.52% for any RVO, 0.44% for BRVO, and 0.08% for CRVO. BRVO is caused by a combination of vein compression at arteriovenous crossings, degenerative changes within venous walls, and hypercoagulability. 34% of nonischemic retinal vein occlusion converted to the ischemic type. Kokolaki et al. (2) showed, that collateral vessels developed in 60% of patients 6±3 months after diagnosis.
Literature:
(1) Ho M, Liu DT, Lam DS, Jonas JB. RETINAL VEIN OCCLUSIONS, FROM BASICS TO THE LATEST TREATMENT. Retina. 2015 Dec 29.
(2) Kokolaki AE, Georgalas I, Koutsandrea C, Kotsolis A, Niskopoulou M, Ladas I. Comparative analysis of the development of collateral vessels in macular edema due to branch retinal vein occlusion following grid laser or ranibizumab treatment. Clin Ophthalmol. 2015 Sep 3;9:1519-22
","<img src=""10369.jpg"">","Mosaic: Colour Photography Posterior Pole: nonperfused segment in superior temporal vein with collateral vessels, few intraretinal hemorrhages, no nerve fiber layer infarcts, no optic disc edema. Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels.

Patient: 67 years of age, BVCA 0.3 at OD, 0.6 at OS, IOP 16/18 mmHg. 
General Medical History: arterial hypertension.
Ocular Medical History: decreased vision in OD.
Main Complaint: unclear vision loss.
Purpose: to present peripherial ischemic retinopathy in mainly regular central fundus.
Methods: Colour Photogaphy Posterior Segment, Optical Coherence Tomography, Fundus Fluorescein Angiography.  
Findings:
Colour Photography Posterior Pole: nonperfused segment in superior temporal vein with collateral vessels, few intraretinal hemorrhages, no nerve fiber layer infarcts, no optic disc edema.
Fluorescein angiography (FA): nonperfused segment of superior temporal vein with collateral vessels, peripherial retinal neovascularisation, peripheral capillary nonperfusion with more than 10 disc diameters of retinal capillary nonperfusion.
Optical coherence tomography (OCT): decrease in foveal thickness, impaired inner segment/outer segment (IS/OS) junction, no macular swelling, no macular edema.
Discussion: 
Retinal vein occlusion (RVO) is the second most common cause after diabetic retinopathy of vision loss due to retinal vascular disease. Branch vein occlusion (BRVO) is about 3-6 times more common than central vein occlusion (CRVO). Ho et al. (1) reported, that pooled data showed prevalence rates of about 0.52% for any RVO, 0.44% for BRVO, and 0.08% for CRVO. BRVO is caused by a combination of vein compression at arteriovenous crossings, degenerative changes within venous walls, and hypercoagulability. 34% of nonischemic retinal vein occlusion converted to the ischemic type. Kokolaki et al. (2) showed, that collateral vessels developed in 60% of patients 6±3 months after diagnosis.
Literature:
(1) Ho M, Liu DT, Lam DS, Jonas JB. RETINAL VEIN OCCLUSIONS, FROM BASICS TO THE LATEST TREATMENT. Retina. 2015 Dec 29.
(2) Kokolaki AE, Georgalas I, Koutsandrea C, Kotsolis A, Niskopoulou M, Ladas I. Comparative analysis of the development of collateral vessels in macular edema due to branch retinal vein occlusion following grid laser or ranibizumab treatment. Clin Ophthalmol. 2015 Sep 3;9:1519-22
","<img src=""10371.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=1678&locale=en,sturge-weber syndrome,Choroidal swelling and bullous elevation of retina due to large choroidal hemangioma,"#Optho::SystemicDiseases::Phakomatoses::Sturge-WeberSyndrome::Case,Sturge-WeberSyndrome","<img src=""1678.jpg"">","Nevus flammeus makes left side of face swollen (nevus visible at upper lips, remainder of face powdered). Note the dark reflex from left eye","<img src=""1679.jpg"">",Nevus flammeus of the left face in the distribution area of the trigeminal nerve. When lid and conjunctiva are involved glaucoma often results.,"<img src=""3975.jpg"">","Nevus flammeus involving the lids of the eye is mostly connected with congenital glaucoma, cavernous hemangioma of the choroid, cortical calcifications and angiomas of the leptomeninx. ","<img src=""4935.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=10786&locale=en,glaucomatous optic nerve atrophy with  enlarged foveolar avascular zone in juvenile primary open angle glaucoma (triton oct-a),"Triton OCT-angiography, retina, superficial retinal layer, OD:  no relevant loss of capillary meshwork​

40 years of age, female, BCVA 1.0 at OD, 1.0 at OS, IOP 14/15 mmHg  under  topical therapy.​
Ocular Medical History:  since 20 years  glaucoma, now IOP values lower 16 mmHg with topical prostglandins, slowly progressing  glaucomatous optic nerve atrophy,  constant visual acuity, peripherial  visual field defects. ​
General Medical History: no events reported.​
Main Complaint: visual  field defects in OS.​
Purpose: to present  progressed optic  nerce atrophy with increased area of foveolar avascular zone.​
​
Methods: Colour Photography Posterior Pole,  Triton OCT, Triton OCT-angiography, visual field Octopus G1 .​
Findings:​
Visual Field, OD: peripherial  scotoma (MD 1.8 dB).​
Visual Field, OS: peripherial  scotoma (MD 5.5 dB).​
​
Colour Photography Posterior Pole, OD: glaucomatous optic nerve atrophy  (disc area 2.05 mm², rim area 0.05 mm², C/D-ratio 0.99).​
Colour Photography Posterior Pole, OS: glaucomatous optic nerve atrophy (disc area 2.26 mm², rim area 0.15 mm², C/D-ratio 0.97). ​
​
Triton OCT, retinal nerve fiber thickness, OD:  highly thinned retinal nerve fiber layer (total 19µm). ​
Triton OCT, retinal nerve fiber thickness, OS:  highly thinned retinal nerve fiber layer (total 22µm). ​
​
Triton OCT-angiography, retina, superficial retinal layer, OD:  no relevant loss of capillary meshwork​
Triton OCT-angiography, retina, deep retinal layerOD:  no relevant loss of capillary meshwork. ​
​
Triton OCT-angiography, retina, superficial retinal layer, OS:  increased area of foveolar avascular zone.​
Triton OCT-angiography, retina, deep retinal layerOS: :  increased area of foveolar avascular zone. ​
​
Discussion: Primary open-angle glaucoma (POAG) is characterized by progressive degeneration of retinal ganglion cells and their axons, resulting in structural damage to the optic nerve head (ONH) and inner retina.  Approximately half of these retinal ganglion cells are located within 4.5 mm of the center of the fovea. The superficial capillaries mainly nourish the ganglion cell layer. Penteado RC (1) evaluated  in 185 eyes the association between macula vascular density assessed by optical coherence tomography angiography (OCT-A) and central visual field (VF) threshold sensitivities in healthy, glaucoma suspect, and glaucoma patients.  He found  that  severe glaucoma subjects had significantly lower macula vessel density values compared with early glaucoma or healthy eyes.  They reported  that glaucoma eyes generally had sparser macula capillary networks compared with healthy eyes, glaucoma suspects, or mild glaucoma eyes. They documented an average macula vessel density  for healthy eyes  of 52.5%±3.7%, and for moderate/severe glaucoma patients  of 45.2%±3.9%. Macula OCT-A  may be an important adjunctive tool for identifying subjects at risk for developing glaucoma.​
​
Literature:​
1. Penteado RC, Zangwill LM, Daga FB, Saunders LJ, Manalastas PIC, Shoji T, Akagi T, Christopher M, Yarmohammadi A, Moghimi S, Weinreb RN. Optical Coherence Tomography Angiography Macular Vascular Density Measurements and the Central 10-2 Visual Field in Glaucoma. J Glaucoma. 2018 Jun;27(6):481-489. ​
","#Optho::Glaucomas,OcularHypertension::PrimaryChronicOpen-AngleGlaucoma(POAG)::GlaucomatousOpticNerveAtrophywithEnlargedFoveolarAvascularZoneinJuvenilePrimaryOpenAngleGlaucoma(ColourPhotographyPosteriorPole,TritonOCT,TritonOCT-A,VF)​","<img src=""10786.jpg"">","Triton OCT-angiography, retina, deep retinal layerOD:  no relevant loss of capillary meshwork. ​
​

40 years of age, female, BCVA 1.0 at OD, 1.0 at OS, IOP 14/15 mmHg  under  topical therapy.​
Ocular Medical History:  since 20 years  glaucoma, now IOP values lower 16 mmHg with topical prostglandins, slowly progressing  glaucomatous optic nerve atrophy,  constant visual acuity, peripherial  visual field defects. ​
General Medical History: no events reported.​
Main Complaint: visual  field defects in OS.​
Purpose: to present  progressed optic  nerce atrophy with increased area of foveolar avascular zone.​
​
Methods: Colour Photography Posterior Pole,  Triton OCT, Triton OCT-angiography, visual field Octopus G1 .​
Findings:​
Visual Field, OD: peripherial  scotoma (MD 1.8 dB).​
Visual Field, OS: peripherial  scotoma (MD 5.5 dB).​
​
Colour Photography Posterior Pole, OD: glaucomatous optic nerve atrophy  (disc area 2.05 mm², rim area 0.05 mm², C/D-ratio 0.99).​
Colour Photography Posterior Pole, OS: glaucomatous optic nerve atrophy (disc area 2.26 mm², rim area 0.15 mm², C/D-ratio 0.97). ​
​
Triton OCT, retinal nerve fiber thickness, OD:  highly thinned retinal nerve fiber layer (total 19µm). ​
Triton OCT, retinal nerve fiber thickness, OS:  highly thinned retinal nerve fiber layer (total 22µm). ​
​
Triton OCT-angiography, retina, superficial retinal layer, OD:  no relevant loss of capillary meshwork​
Triton OCT-angiography, retina, deep retinal layerOD:  no relevant loss of capillary meshwork. ​
​
Triton OCT-angiography, retina, superficial retinal layer, OS:  increased area of foveolar avascular zone.​
Triton OCT-angiography, retina, deep retinal layerOS: :  increased area of foveolar avascular zone. ​
​
Discussion: Primary open-angle glaucoma (POAG) is characterized by progressive degeneration of retinal ganglion cells and their axons, resulting in structural damage to the optic nerve head (ONH) and inner retina.  Approximately half of these retinal ganglion cells are located within 4.5 mm of the center of the fovea. The superficial capillaries mainly nourish the ganglion cell layer. Penteado RC (1) evaluated  in 185 eyes the association between macula vascular density assessed by optical coherence tomography angiography (OCT-A) and central visual field (VF) threshold sensitivities in healthy, glaucoma suspect, and glaucoma patients.  He found  that  severe glaucoma subjects had significantly lower macula vessel density values compared with early glaucoma or healthy eyes.  They reported  that glaucoma eyes generally had sparser macula capillary networks compared with healthy eyes, glaucoma suspects, or mild glaucoma eyes. They documented an average macula vessel density  for healthy eyes  of 52.5%±3.7%, and for moderate/severe glaucoma patients  of 45.2%±3.9%. Macula OCT-A  may be an important adjunctive tool for identifying subjects at risk for developing glaucoma.​
​
Literature:​
1. Penteado RC, Zangwill LM, Daga FB, Saunders LJ, Manalastas PIC, Shoji T, Akagi T, Christopher M, Yarmohammadi A, Moghimi S, Weinreb RN. Optical Coherence Tomography Angiography Macular Vascular Density Measurements and the Central 10-2 Visual Field in Glaucoma. J Glaucoma. 2018 Jun;27(6):481-489. ​
","<img src=""10787.jpg"">","Triton OCT-angiography, retina, superficial retinal layer, OS:  increased area of foveolar avascular zone.​
​

40 years of age, female, BCVA 1.0 at OD, 1.0 at OS, IOP 14/15 mmHg  under  topical therapy.​
Ocular Medical History:  since 20 years  glaucoma, now IOP values lower 16 mmHg with topical prostglandins, slowly progressing  glaucomatous optic nerve atrophy,  constant visual acuity, peripherial  visual field defects. ​
General Medical History: no events reported.​
Main Complaint: visual  field defects in OS.​
Purpose: to present  progressed optic  nerce atrophy with increased area of foveolar avascular zone.​
​
Methods: Colour Photography Posterior Pole,  Triton OCT, Triton OCT-angiography, visual field Octopus G1 .​
Findings:​
Visual Field, OD: peripherial  scotoma (MD 1.8 dB).​
Visual Field, OS: peripherial  scotoma (MD 5.5 dB).​
​
Colour Photography Posterior Pole, OD: glaucomatous optic nerve atrophy  (disc area 2.05 mm², rim area 0.05 mm², C/D-ratio 0.99).​
Colour Photography Posterior Pole, OS: glaucomatous optic nerve atrophy (disc area 2.26 mm², rim area 0.15 mm², C/D-ratio 0.97). ​
​
Triton OCT, retinal nerve fiber thickness, OD:  highly thinned retinal nerve fiber layer (total 19µm). ​
Triton OCT, retinal nerve fiber thickness, OS:  highly thinned retinal nerve fiber layer (total 22µm). ​
​
Triton OCT-angiography, retina, superficial retinal layer, OD:  no relevant loss of capillary meshwork​
Triton OCT-angiography, retina, deep retinal layerOD:  no relevant loss of capillary meshwork. ​
​
Triton OCT-angiography, retina, superficial retinal layer, OS:  increased area of foveolar avascular zone.​
Triton OCT-angiography, retina, deep retinal layerOS: :  increased area of foveolar avascular zone. ​
​
Discussion: Primary open-angle glaucoma (POAG) is characterized by progressive degeneration of retinal ganglion cells and their axons, resulting in structural damage to the optic nerve head (ONH) and inner retina.  Approximately half of these retinal ganglion cells are located within 4.5 mm of the center of the fovea. The superficial capillaries mainly nourish the ganglion cell layer. Penteado RC (1) evaluated  in 185 eyes the association between macula vascular density assessed by optical coherence tomography angiography (OCT-A) and central visual field (VF) threshold sensitivities in healthy, glaucoma suspect, and glaucoma patients.  He found  that  severe glaucoma subjects had significantly lower macula vessel density values compared with early glaucoma or healthy eyes.  They reported  that glaucoma eyes generally had sparser macula capillary networks compared with healthy eyes, glaucoma suspects, or mild glaucoma eyes. They documented an average macula vessel density  for healthy eyes  of 52.5%±3.7%, and for moderate/severe glaucoma patients  of 45.2%±3.9%. Macula OCT-A  may be an important adjunctive tool for identifying subjects at risk for developing glaucoma.​
​
Literature:​
1. Penteado RC, Zangwill LM, Daga FB, Saunders LJ, Manalastas PIC, Shoji T, Akagi T, Christopher M, Yarmohammadi A, Moghimi S, Weinreb RN. Optical Coherence Tomography Angiography Macular Vascular Density Measurements and the Central 10-2 Visual Field in Glaucoma. J Glaucoma. 2018 Jun;27(6):481-489. ​
","<img src=""10788.jpg"">","Triton OCT-angiography, retina, deep retinal layerOS: increased area of foveolar avascular zone. ​
​

40 years of age, female, BCVA 1.0 at OD, 1.0 at OS, IOP 14/15 mmHg  under  topical therapy.​
Ocular Medical History:  since 20 years  glaucoma, now IOP values lower 16 mmHg with topical prostglandins, slowly progressing  glaucomatous optic nerve atrophy,  constant visual acuity, peripherial  visual field defects. ​
General Medical History: no events reported.​
Main Complaint: visual  field defects in OS.​
Purpose: to present  progressed optic  nerce atrophy with increased area of foveolar avascular zone.​
​
Methods: Colour Photography Posterior Pole,  Triton OCT, Triton OCT-angiography, visual field Octopus G1 .​
Findings:​
Visual Field, OD: peripherial  scotoma (MD 1.8 dB).​
Visual Field, OS: peripherial  scotoma (MD 5.5 dB).​
​
Colour Photography Posterior Pole, OD: glaucomatous optic nerve atrophy  (disc area 2.05 mm², rim area 0.05 mm², C/D-ratio 0.99).​
Colour Photography Posterior Pole, OS: glaucomatous optic nerve atrophy (disc area 2.26 mm², rim area 0.15 mm², C/D-ratio 0.97). ​
​
Triton OCT, retinal nerve fiber thickness, OD:  highly thinned retinal nerve fiber layer (total 19µm). ​
Triton OCT, retinal nerve fiber thickness, OS:  highly thinned retinal nerve fiber layer (total 22µm). ​
​
Triton OCT-angiography, retina, superficial retinal layer, OD:  no relevant loss of capillary meshwork​
Triton OCT-angiography, retina, deep retinal layerOD:  no relevant loss of capillary meshwork. ​
​
Triton OCT-angiography, retina, superficial retinal layer, OS:  increased area of foveolar avascular zone.​
Triton OCT-angiography, retina, deep retinal layerOS: :  increased area of foveolar avascular zone. ​
​
Discussion: Primary open-angle glaucoma (POAG) is characterized by progressive degeneration of retinal ganglion cells and their axons, resulting in structural damage to the optic nerve head (ONH) and inner retina.  Approximately half of these retinal ganglion cells are located within 4.5 mm of the center of the fovea. The superficial capillaries mainly nourish the ganglion cell layer. Penteado RC (1) evaluated  in 185 eyes the association between macula vascular density assessed by optical coherence tomography angiography (OCT-A) and central visual field (VF) threshold sensitivities in healthy, glaucoma suspect, and glaucoma patients.  He found  that  severe glaucoma subjects had significantly lower macula vessel density values compared with early glaucoma or healthy eyes.  They reported  that glaucoma eyes generally had sparser macula capillary networks compared with healthy eyes, glaucoma suspects, or mild glaucoma eyes. They documented an average macula vessel density  for healthy eyes  of 52.5%±3.7%, and for moderate/severe glaucoma patients  of 45.2%±3.9%. Macula OCT-A  may be an important adjunctive tool for identifying subjects at risk for developing glaucoma.​
​
Literature:​
1. Penteado RC, Zangwill LM, Daga FB, Saunders LJ, Manalastas PIC, Shoji T, Akagi T, Christopher M, Yarmohammadi A, Moghimi S, Weinreb RN. Optical Coherence Tomography Angiography Macular Vascular Density Measurements and the Central 10-2 Visual Field in Glaucoma. J Glaucoma. 2018 Jun;27(6):481-489. ​
","<img src=""10789.jpg"">"
https://www.atlasophthalmology.net/photo.jsf?node=7260&locale=en,keratoconjunctivitis sicca,Within the area of the lid fissure the surface of the cornea lacks a clear reflex and appears rough. The conjunctiva is injected.,"#Optho::Cornea::Keratitis,Keratouveitis(Infectious/Non-Infectious/Neuroparalytic/Parasitic)::SuperficialKeratopathy::KeratitisSicca,DryEye","<img src=""7260.jpg"">",Conjunctival hyperemia is an early sign of a dry eye,"<img src=""7262.jpg"">","Areas of dry and keratinized epithelium become visible with the slitlamp reflecting light.
","<img src=""7267.jpg"">",Lipid component of tears disturbed due to dysfunction of lipid production of Meibomian glands. These are plugged up. Irregular reflex of the cornea in the area exposed to air.,"<img src=""7277.jpg"">"
